ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7117309,HR526700,09/08/2009 08:24:00 PM,091XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2221,022,21,73,18,1167278,1844022,2009,02/28/2018 03:56:25 PM,41.727546303,-87.662827063,"(41.727546303, -87.662827063)"
7117312,HR525183,09/08/2009 02:30:00 AM,014XX S CANAL ST,0460,BATTERY,SIMPLE,OTHER,false,false,0131,001,2,28,08B,1173362,1893147,2009,02/28/2018 03:56:25 PM,41.862218265,-87.639087164,"(41.862218265, -87.639087164)"
7117313,HR526688,09/08/2009 08:25:00 PM,012XX S LAWNDALE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1011,010,24,29,18,1151900,1894286,2009,02/28/2018 03:56:25 PM,41.865793033,-87.717841341,"(41.865793033, -87.717841341)"
7117314,HR526632,09/08/2009 07:45:00 PM,073XX S RACINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0733,007,17,68,14,1169587,1856300,2009,02/28/2018 03:56:25 PM,41.761189159,-87.65401376,"(41.761189159, -87.65401376)"
7117315,HR526608,09/08/2009 03:55:00 PM,060XX S WOOD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0714,007,15,67,26,1165384,1864663,2009,02/28/2018 03:56:25 PM,41.784228388,-87.669181394,"(41.784228388, -87.669181394)"
7117316,HR526769,09/08/2009 09:03:00 PM,126XX S EGGLESTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0523,005,9,53,18,1175595,1821284,2009,02/28/2018 03:56:25 PM,41.664968039,-87.633037859,"(41.664968039, -87.633037859)"
7117317,HR526669,09/08/2009 08:00:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0122,001,42,32,06,1176362,1900577,2009,02/28/2018 03:56:25 PM,41.882539542,-87.627850543,"(41.882539542, -87.627850543)"
7117319,HR526685,09/08/2009 07:04:00 PM,008XX N CLEVELAND AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,CHA APARTMENT,true,false,1823,018,27,8,18,1172845,1906077,2009,02/28/2018 03:56:25 PM,41.897710482,-87.640601871,"(41.897710482, -87.640601871)"
7117320,HR526722,09/08/2009 02:30:00 AM,057XX S WOLCOTT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0715,007,15,67,26,1164669,1866563,2009,02/28/2018 03:56:25 PM,41.789457355,-87.671749265,"(41.789457355, -87.671749265)"
7117321,HR526778,09/08/2009 09:35:00 PM,011XX W 65TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0724,007,17,68,08A,1169633,1861691,2009,02/28/2018 03:56:25 PM,41.775981744,-87.653689037,"(41.775981744, -87.653689037)"
7117323,HR526651,09/08/2009 08:05:00 PM,131XX S AVENUE M,0560,ASSAULT,SIMPLE,STREET,false,false,0433,004,10,55,08A,1201737,1818232,2009,02/28/2018 03:56:25 PM,41.655970305,-87.537473341,"(41.655970305, -87.537473341)"
7117325,HR526402,09/08/2009 07:30:00 AM,101XX S BENSLEY AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0431,004,10,51,05,1194487,1838307,2009,02/28/2018 03:56:25 PM,41.711238977,-87.563344737,"(41.711238977, -87.563344737)"
7117326,HR526561,09/08/2009 06:55:00 PM,087XX S BENNETT AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,0412,004,8,48,03,1190367,1847466,2009,02/28/2018 03:56:25 PM,41.736472317,-87.578138621,"(41.736472317, -87.578138621)"
7117331,HR526215,09/08/2009 12:20:00 PM,029XX E 92ND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0423,004,10,46,06,1197484,1844527,2009,02/28/2018 03:56:25 PM,41.728233132,-87.552162575,"(41.728233132, -87.552162575)"
7117332,HR526825,09/06/2009 03:00:00 PM,054XX S JUSTINE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0932,009,16,61,26,1166928,1868724,2009,02/28/2018 03:56:25 PM,41.795339398,-87.663404464,"(41.795339398, -87.663404464)"
7117334,HR526284,09/08/2009 04:30:00 PM,099XX S EWING AVE,0820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,false,false,0432,004,10,52,06,1202137,1839870,2009,02/28/2018 03:56:25 PM,41.715336835,-87.535276291,"(41.715336835, -87.535276291)"
4693303,HM288742,04/13/2006 03:00:00 PM,038XX W PALMER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2525,025,30,22,14,1150245,1914343,2006,02/28/2018 03:56:25 PM,41.920863923,-87.723393571,"(41.920863923, -87.723393571)"
7117335,HR526322,09/08/2009 05:00:00 PM,087XX S MUSKEGON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0423,004,7,46,14,1196527,1847586,2009,02/28/2018 03:56:25 PM,41.736651062,-87.55556692,"(41.736651062, -87.55556692)"
7117336,HR526381,09/08/2009 07:00:00 AM,028XX E 81ST ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0422,004,7,46,05,1196325,1851803,2009,02/28/2018 03:56:25 PM,41.74822785,-87.556167438,"(41.74822785, -87.556167438)"
7117338,HR526465,09/08/2009 05:45:00 PM,085XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0412,004,8,46,14,1192986,1848936,2009,02/28/2018 03:56:25 PM,41.740442663,-87.568495789,"(41.740442663, -87.568495789)"
7117340,HR526701,09/08/2009 08:00:00 PM,023XX W 18TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1223,012,25,31,26,1161135,1891025,2009,02/28/2018 03:56:25 PM,41.856657834,-87.684029548,"(41.856657834, -87.684029548)"
7117341,HR526767,09/08/2009 08:00:00 PM,004XX E ONTARIO ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1834,018,42,8,06,1179278,1904579,2009,02/28/2018 03:56:25 PM,41.893454941,-87.617020399,"(41.893454941, -87.617020399)"
7117342,HR526747,09/08/2009 08:30:00 PM,036XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1733,017,33,16,14,1155074,1923987,2009,02/28/2018 03:56:25 PM,41.947232161,-87.705391149,"(41.947232161, -87.705391149)"
7117343,HR526768,09/08/2009 08:30:00 PM,002XX N LA SALLE ST,0890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,false,false,0113,001,42,32,06,1175093,1901978,2009,02/28/2018 03:56:25 PM,41.886412499,-87.632468271,"(41.886412499, -87.632468271)"
7117344,HR526469,09/03/2009 01:40:00 AM,103XX S DOTY AVE E,0810,THEFT,OVER $500,OTHER,false,false,0434,004,10,51,06,1189757,1836996,2009,02/28/2018 03:56:25 PM,41.707756212,-87.580708771,"(41.707756212, -87.580708771)"
7117345,HR526568,09/01/2009 12:00:00 PM,066XX S MARYLAND AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0321,003,5,42,06,1183036,1861132,2009,02/28/2018 03:56:25 PM,41.774146619,-87.604572522,"(41.774146619, -87.604572522)"
7117347,HR526756,09/08/2009 04:30:00 PM,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1834,018,42,8,06,1177327,1904307,2009,02/28/2018 03:56:25 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
7117348,HR526806,09/08/2009 12:00:00 PM,092XX S PERRY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0634,006,21,49,26,1177230,1843792,2009,02/28/2018 03:56:25 PM,41.726696642,-87.626378349,"(41.726696642, -87.626378349)"
7117349,HR526710,09/08/2009 08:55:00 PM,020XX N KENNETH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2522,025,31,20,18,1146392,1913181,2009,02/28/2018 03:56:25 PM,41.917749609,-87.737580125,"(41.917749609, -87.737580125)"
7117350,HR526736,09/02/2009 03:39:00 AM,069XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0735,007,17,67,11,1166880,1858661,2009,02/28/2018 03:56:25 PM,41.767726292,-87.663867778,"(41.767726292, -87.663867778)"
7117351,HR526809,09/08/2009 09:34:00 PM,010XX W SUNNYSIDE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2313,019,46,3,18,1168642,1930055,2009,02/28/2018 03:56:25 PM,41.963599382,-87.655342514,"(41.963599382, -87.655342514)"
7117354,HR526663,09/08/2009 01:00:00 PM,022XX N MAGNOLIA AVE,0810,THEFT,OVER $500,ALLEY,false,false,1811,018,32,7,06,1167608,1915073,2009,02/28/2018 03:56:25 PM,41.922510482,-87.659577139,"(41.922510482, -87.659577139)"
7117355,HR526779,09/08/2009 10:00:00 AM,029XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1932,019,44,6,06,1169098,1919899,2009,02/28/2018 03:56:25 PM,41.935721008,-87.653961944,"(41.935721008, -87.653961944)"
7117356,HR526603,09/08/2009 07:20:00 PM,040XX W IRVING PARK RD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1732,017,39,16,03,1148885,1926279,2009,02/28/2018 03:56:25 PM,41.953643758,-87.72808092,"(41.953643758, -87.72808092)"
7117358,HR526799,09/08/2009 04:00:00 PM,083XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0632,006,6,44,26,1180365,1849834,2009,02/28/2018 03:56:25 PM,41.743205383,-87.614709784,"(41.743205383, -87.614709784)"
7117360,HR526836,09/06/2009 08:00:00 AM,023XX W BLOOMINGDALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1434,014,1,22,06,1160561,1911925,2009,02/28/2018 03:56:25 PM,41.914021159,-87.685557356,"(41.914021159, -87.685557356)"
7117361,HR526026,09/08/2009 02:50:00 PM,013XX W 98TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2213,022,21,73,08B,1169207,1839797,2009,02/28/2018 03:56:25 PM,41.715910821,-87.655882613,"(41.715910821, -87.655882613)"
7117362,HR526803,09/08/2009 05:30:00 PM,100XX S WOODLAWN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,"SCHOOL, PUBLIC, BUILDING",false,false,0511,005,8,50,07,1186531,1838828,2009,02/28/2018 03:56:25 PM,41.7128602,-87.592464611,"(41.7128602, -87.592464611)"
7117363,HR526798,09/08/2009 09:45:00 PM,069XX S STATE ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,false,true,0322,003,6,69,04B,1177495,1859111,2009,02/28/2018 03:56:25 PM,41.768727829,-87.624945647,"(41.768727829, -87.624945647)"
7117364,HR526387,09/08/2009 09:50:00 AM,116XX S HARVARD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0522,005,34,53,05,1176041,1827783,2009,02/28/2018 03:56:25 PM,41.682792367,-87.631211886,"(41.682792367, -87.631211886)"
7117366,HR526713,09/08/2009 11:00:00 AM,0000X E 56TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0233,002,20,40,05,1177890,1867919,2009,02/28/2018 03:56:25 PM,41.792888946,-87.623231167,"(41.792888946, -87.623231167)"
7117367,HR526843,09/08/2009 10:25:00 PM,048XX W DIVERSEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,2521,025,31,19,18,1143723,1918183,2009,02/28/2018 03:56:25 PM,41.931526059,-87.747260641,"(41.931526059, -87.747260641)"
7117369,HR526785,09/08/2009 09:56:00 PM,071XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0832,008,18,66,18,1161611,1857244,2009,02/28/2018 03:56:25 PM,41.763948757,-87.683220357,"(41.763948757, -87.683220357)"
7117371,HR526804,09/08/2009 10:00:00 PM,003XX W 35TH ST,0460,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,true,false,0925,009,11,34,08B,1174431,1881739,2009,02/28/2018 03:56:25 PM,41.830890037,-87.635503335,"(41.830890037, -87.635503335)"
7117372,HR526592,09/06/2009 05:00:00 PM,045XX N SEELEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1911,019,47,4,07,1161756,1930040,2009,02/28/2018 03:56:25 PM,41.963704944,-87.680660445,"(41.963704944, -87.680660445)"
7117373,HR526849,09/08/2009 10:00:00 PM,078XX S CALUMET AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0623,006,6,69,26,1179834,1853004,2009,02/28/2018 03:56:25 PM,41.751916378,-87.616558623,"(41.751916378, -87.616558623)"
7117374,HR526607,09/08/2009 07:40:00 PM,050XX S ABERDEEN ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0921,009,16,61,04B,1169837,1871396,2009,02/28/2018 03:56:25 PM,41.802608958,-87.652659518,"(41.802608958, -87.652659518)"
7117375,HR526652,09/07/2009 09:30:00 AM,057XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0234,002,20,40,05,1179019,1867057,2009,02/28/2018 03:56:25 PM,41.790497871,-87.619117551,"(41.790497871, -87.619117551)"
7117376,HR526097,08/26/2009 11:30:00 AM,068XX S RIDGELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0332,003,5,43,14,1189045,1859999,2009,02/28/2018 03:56:25 PM,41.770895733,-87.582581238,"(41.770895733, -87.582581238)"
7117378,HR526794,09/08/2009 08:00:00 AM,032XX W BEACH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1422,014,26,23,06,1154520,1909456,2009,02/28/2018 03:56:25 PM,41.907369066,-87.707817161,"(41.907369066, -87.707817161)"